GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,44,0,0,0,13,0,4,0,4,0
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,7,0,0,0,3,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,36,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,128,0,4,0,27,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,37,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,37,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,37,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,37,0,0,0,7,0,7,0,7,0
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,93,0,8,0,26,0,11,0,7,0
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,81,0,6,0,21,0,10,0,7,0
spring-boot-skeleton,com.nnk.springboot.services,BidService,73,0,6,0,21,0,9,0,6,0
spring-boot-skeleton,com.nnk.springboot.services,TradeService,93,0,8,0,26,0,11,0,7,0
spring-boot-skeleton,com.nnk.springboot.services,RatingService,93,0,8,0,26,0,11,0,7,0
spring-boot-skeleton,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot,AppConfig,3,0,0,0,1,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot,UserDetailServiceImpl,53,0,2,0,12,0,3,0,2,0
spring-boot-skeleton,com.nnk.springboot,LoggingAspect,14,0,0,0,4,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot,SecurityConfig,75,0,0,0,17,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,53,0,0,0,23,0,12,0,12,0
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,73,0,0,0,31,0,16,0,16,0
spring-boot-skeleton,com.nnk.springboot.domain,BidList,169,0,0,0,73,0,46,0,46,0
spring-boot-skeleton,com.nnk.springboot.domain,Trade,159,0,0,0,69,0,44,0,44,0
spring-boot-skeleton,com.nnk.springboot.domain,User,38,0,0,0,16,0,11,0,11,0
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,57,0,0,0,25,0,14,0,14,0
